Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age,Total_Spend,Customer_Tenure,Total_Engagement,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,67,1208,1,22,21,1208,4,4,4,444,Champions
5642,1979,Master,Together,62499.0,1,0,2013-09-12,0,140,4,61,0,13,4,2,3,1,6,4,0,0,35,222,1,14,10,222,4,2,2,422,Potential Customers
10530,1959,PhD,Widow,67786.0,0,0,2013-07-12,0,431,82,441,80,20,102,1,3,6,6,1,1,0,55,1156,1,16,15,1156,4,3,4,434,Loyal Customers
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,33,72,1,10,4,72,4,1,2,412,At Risk Customers
10311,1969,Graduation,Married,4428.0,0,1,2013-05-10,0,16,4,12,2,4,321,0,25,0,0,1,0,0,45,359,1,26,25,359,4,4,2,442,Champions
837,1977,Graduation,Married,54809.0,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,0,0,37,174,1,12,8,174,4,2,2,422,Potential Customers
10521,1977,Graduation,Married,54809.0,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,1,0,37,174,1,12,8,174,4,2,2,422,Potential Customers
10175,1958,PhD,Divorced,32173.0,0,1,2013-01-08,0,18,0,2,0,0,2,1,1,0,3,4,0,0,56,22,1,8,4,22,4,1,1,411,At Risk Customers
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,54,72,1,13,5,72,4,1,2,412,At Risk Customers
2795,1958,Master,Single,30523.0,2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,56,13,1,10,3,13,4,1,1,411,At Risk Customers
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,60,335,1,19,12,335,4,2,2,422,Potential Customers
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,48,393,1,19,14,393,4,3,2,432,Potential Customers
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,35,92,1,10,6,92,4,1,2,412,At Risk Customers
4065,1976,PhD,Married,49544.0,1,0,2013-12-02,0,308,0,73,0,0,23,2,5,1,8,7,0,0,38,404,1,21,14,404,4,3,3,433,Loyal Customers
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,45,704,2,28,22,704,4,4,3,443,Champions
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,49,122,2,14,7,122,4,2,2,422,Potential Customers
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,58,684,2,27,19,684,4,4,3,443,Champions
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,58,684,2,27,19,684,4,4,3,443,Champions
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,58,45,0,10,5,45,4,1,1,411,At Risk Customers
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,39,726,0,17,15,726,4,3,3,433,Loyal Customers
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,43,272,0,17,11,272,4,2,2,422,Potential Customers
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,28,1638,0,23,21,1638,4,4,4,444,Champions
5824,1972,PhD,Together,34578.0,2,1,2014-11-04,1,7,0,1,0,0,0,1,1,0,2,6,0,0,42,8,0,9,3,8,4,1,1,411,At Risk Customers
5794,1974,PhD,Married,46374.0,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,1,0,40,446,0,23,15,446,4,3,3,433,Loyal Customers
3068,1990,Graduation,Married,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,24,43,1,12,5,43,4,1,1,411,At Risk Customers
7962,1987,PhD,Single,95169.0,0,0,2013-09-10,1,1285,21,449,106,20,20,1,4,3,4,1,1,0,27,1901,1,12,11,1901,4,2,4,424,Potential Customers
2681,1984,2n Cycle,Married,65370.0,0,0,2013-01-08,1,71,22,112,138,89,29,1,2,3,13,1,0,0,30,461,1,19,18,461,4,3,3,433,Loyal Customers
10141,1960,Master,Divorced,39228.0,0,0,2013-10-05,1,7,1,6,0,3,3,1,0,0,3,4,0,0,54,20,1,7,3,20,4,1,1,411,At Risk Customers
3725,1961,PhD,Single,84865.0,0,0,2013-09-05,1,1248,16,349,43,16,16,1,2,4,9,4,1,0,53,1688,1,19,15,1688,4,3,4,434,Loyal Customers
3767,1968,Graduation,Married,61314.0,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,46,1008,1,25,22,1008,4,4,3,443,Champions
5585,1972,Graduation,Single,21359.0,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,1,0,42,48,1,13,5,48,4,1,1,411,At Risk Customers
7030,1955,PhD,Married,66465.0,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,59,1485,1,38,32,1485,4,4,4,444,Champions
1524,1983,2n Cycle,Single,81698.0,0,0,2013-01-03,1,709,45,115,30,160,45,1,8,2,5,5,1,0,31,1104,1,20,15,1104,4,3,4,434,Loyal Customers
3657,1986,Graduation,Single,39146.0,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,28,165,1,16,8,165,4,2,2,422,Potential Customers
5740,1970,2n Cycle,Divorced,25959.0,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,1,0,44,56,1,11,5,56,4,1,1,411,At Risk Customers
9595,1961,Graduation,Together,64260.0,0,0,2013-11-01,1,539,169,816,20,0,30,1,4,5,4,3,1,0,53,1574,1,16,13,1574,4,3,4,434,Loyal Customers
3158,1973,Graduation,Married,32300.0,1,0,2013-03-01,1,13,3,6,6,5,6,1,1,0,3,8,0,0,41,39,1,12,4,39,4,1,1,411,At Risk Customers
5114,1965,Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,49,965,2,18,14,965,4,3,3,433,Loyal Customers
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,44,497,2,22,17,497,4,3,3,433,Loyal Customers
8805,1960,Graduation,Single,48904.0,0,1,2012-02-12,1,283,10,38,0,13,27,4,7,2,4,8,0,0,54,371,2,21,13,371,4,3,2,432,Potential Customers
1241,1984,2n Cycle,Married,14796.0,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,1,0,30,51,2,13,4,51,4,1,1,411,At Risk Customers
1402,1954,Master,Married,66991.0,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,60,1253,2,21,18,1253,4,3,4,434,Loyal Customers
7264,1978,2n Cycle,Single,52195.0,2,1,2014-12-05,2,12,0,4,0,0,1,1,1,0,2,8,0,0,36,17,0,11,3,17,4,1,1,411,At Risk Customers
1619,1956,Graduation,Married,90369.0,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,1,0,58,1588,0,17,16,1588,4,3,4,434,Loyal Customers
6398,1974,Basic,Married,18393.0,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,40,50,0,14,6,50,4,1,1,411,At Risk Customers
1857,1952,Graduation,Single,47139.0,1,1,2014-06-03,2,46,0,12,0,2,23,2,2,1,2,7,1,0,62,83,0,12,5,83,4,1,2,412,At Risk Customers
4877,1973,Master,Married,38576.0,0,1,2014-04-03,2,34,0,7,0,0,0,1,1,0,3,7,0,0,41,41,0,11,4,41,4,1,1,411,At Risk Customers
3066,1975,PhD,Together,61905.0,0,1,2014-04-02,2,167,0,43,6,2,13,2,4,2,4,5,0,0,39,231,0,15,10,231,4,2,2,422,Potential Customers
10286,1962,Graduation,Married,83715.0,0,0,2014-03-02,2,318,8,407,150,35,8,1,2,8,13,0,0,0,52,926,0,23,23,926,4,4,3,443,Champions
1992,1964,Graduation,Married,60597.0,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,1,0,50,893,0,19,12,893,4,2,3,423,Potential Customers
4246,1982,Master,Single,6560.0,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,32,373,1,19,2,373,4,1,2,412,At Risk Customers
10623,1961,Master,Together,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,53,32,1,9,4,32,4,1,1,411,At Risk Customers
4867,1968,PhD,Single,38236.0,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,46,88,1,14,7,88,4,2,2,422,Potential Customers
3112,1977,Master,Married,22701.0,1,0,2013-05-09,2,2,4,9,0,4,5,1,1,0,3,5,0,0,37,24,1,9,4,24,4,1,1,411,At Risk Customers
4865,1974,Master,Divorced,53367.0,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,1,0,40,400,1,21,14,400,4,3,3,433,Loyal Customers
6287,1986,Graduation,Together,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,1,0,28,36,1,10,4,36,4,1,1,411,At Risk Customers
4405,1956,Master,Married,63915.0,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,58,789,1,26,21,789,4,4,3,443,Champions
5332,1960,2n Cycle,Married,82504.0,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,54,1066,1,17,16,1066,4,3,4,434,Loyal Customers
1519,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,1,0,42,73,1,14,6,73,4,1,2,412,At Risk Customers
9080,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,42,73,1,14,6,73,4,1,2,412,At Risk Customers
1772,1975,PhD,Married,79174.0,0,0,2013-11-01,2,1074,37,518,193,92,129,1,5,6,7,2,1,0,39,2043,1,20,18,2043,4,3,4,434,Loyal Customers
5341,1962,2n Cycle,Divorced,81975.0,0,1,2013-05-01,2,983,76,184,180,138,27,1,6,3,4,7,0,0,52,1588,1,20,13,1588,4,3,4,434,Loyal Customers
5510,1977,Master,Married,43263.0,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,37,441,2,18,13,441,4,3,3,433,Loyal Customers
3887,1970,Graduation,Single,27242.0,1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,1,0,44,106,2,14,5,106,4,1,2,412,At Risk Customers
7022,1971,Graduation,Married,76445.0,1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,43,1410,2,26,20,1410,4,4,4,444,Champions
9999,1965,Graduation,Together,75276.0,0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,49,1040,2,27,22,1040,4,4,3,443,Champions
10352,1963,Graduation,Widow,34213.0,1,1,2012-07-09,2,50,4,28,6,3,26,3,3,1,2,9,1,0,51,117,2,15,6,117,4,1,2,412,At Risk Customers
7919,1976,PhD,Together,72335.0,0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,1,0,38,2092,2,30,22,2092,4,4,4,444,Champions
4114,1964,Master,Married,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,50,1693,2,31,28,1693,4,4,4,444,Champions
7990,1947,Graduation,Married,27469.0,0,0,2012-02-08,2,9,1,2,3,2,0,1,0,0,3,6,0,0,67,17,2,9,3,17,4,1,1,411,At Risk Customers
9888,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,45,1091,0,17,15,1091,4,3,4,434,Loyal Customers
4399,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,45,1091,0,17,15,1091,4,3,4,434,Loyal Customers
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,1,0,57,372,0,20,13,372,4,3,2,432,Potential Customers
4785,1970,PhD,Together,77622.0,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,44,714,0,23,20,714,4,4,3,443,Champions
8461,1962,Graduation,Divorced,46102.0,2,1,2014-10-03,3,14,0,1,0,0,1,1,1,0,2,7,0,0,52,16,0,10,3,16,4,1,1,411,At Risk Customers
3878,1980,2n Cycle,Single,31859.0,1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,34,48,0,11,4,48,4,1,1,411,At Risk Customers
9612,1987,2n Cycle,Single,23830.0,0,0,2014-07-02,3,1,8,6,4,8,16,1,1,0,3,7,0,0,27,43,0,11,4,43,4,1,1,411,At Risk Customers
4098,1973,Graduation,Married,24639.0,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,41,44,0,12,6,44,4,1,1,411,At Risk Customers
158,1945,PhD,Together,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,69,1196,1,20,16,1196,4,3,4,434,Loyal Customers
3896,1984,Graduation,Married,27255.0,1,0,2013-07-11,3,22,1,11,0,1,2,1,1,0,3,7,0,0,30,37,1,11,4,37,4,1,1,411,At Risk Customers
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,37,162,1,10,8,162,4,2,2,422,Potential Customers
4002,1960,PhD,Married,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,54,1123,1,29,26,1123,4,4,4,444,Champions
10914,1970,Graduation,Single,24163.0,1,1,2013-12-10,3,4,1,7,2,1,2,2,1,0,3,4,0,0,44,17,1,8,4,17,4,1,1,411,At Risk Customers
7279,1969,PhD,Together,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,45,1044,1,16,14,1044,4,3,3,433,Loyal Customers
10582,1979,Graduation,Married,72063.0,0,1,2013-03-07,3,180,32,348,76,32,90,2,5,2,12,2,0,0,35,758,1,21,19,758,4,4,3,443,Champions
4470,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,52,140,1,11,7,140,4,2,2,422,Potential Customers
6183,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,52,140,1,11,7,140,4,2,2,422,Potential Customers
6379,1949,Master,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,1,0,65,121,1,13,6,121,4,1,2,412,At Risk Customers
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,34,1395,1,23,19,1395,4,4,4,444,Champions
4827,1956,PhD,Single,54998.0,0,1,2013-10-03,3,154,22,202,39,30,8,5,4,2,9,4,1,0,58,455,1,19,15,455,4,3,3,433,Loyal Customers
6715,1948,PhD,Single,60200.0,0,1,2013-02-01,3,502,19,132,0,6,26,6,6,2,11,6,0,0,66,685,1,25,19,685,4,4,3,443,Champions
10676,1982,Graduation,Married,63211.0,0,0,2012-02-11,3,145,193,459,205,26,145,2,3,8,7,2,1,0,32,1173,2,20,18,1173,4,3,4,434,Loyal Customers
1041,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,41,424,2,22,14,424,4,3,3,433,Loyal Customers
492,1973,PhD,YOLO,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,41,424,2,22,14,424,4,3,3,433,Loyal Customers
11133,1973,PhD,YOLO,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,41,424,2,22,14,424,4,3,3,433,Loyal Customers
4491,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,65,1178,2,25,17,1178,4,3,4,434,Loyal Customers
873,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,1,0,65,1178,2,25,17,1178,4,3,4,434,Loyal Customers
1631,1965,PhD,Together,65220.0,0,0,2012-03-09,3,890,63,292,0,25,12,4,8,4,7,6,1,0,49,1282,2,25,19,1282,4,4,4,444,Champions
8278,1990,PhD,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,24,1711,2,20,15,1711,4,3,4,434,Loyal Customers
6815,1980,2n Cycle,Married,96547.0,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,34,809,0,23,21,809,4,4,3,443,Champions
254,1955,Graduation,Together,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,0,59,473,0,22,15,473,4,3,3,433,Loyal Customers
1349,1970,Graduation,Married,50447.0,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,44,148,0,13,7,148,4,2,2,422,Potential Customers
2534,1953,Graduation,Married,37716.0,0,1,2014-04-21,4,97,1,41,6,2,41,2,4,1,3,7,0,0,61,188,0,15,8,188,4,2,2,422,Potential Customers
2130,1982,Graduation,Together,45203.0,2,0,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,1,0,32,147,0,13,7,147,4,2,2,422,Potential Customers
2296,1975,Master,Married,37368.0,1,0,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,0,0,39,30,1,9,3,30,4,1,1,411,At Risk Customers
3799,1955,Graduation,Married,67225.0,0,1,2013-11-26,4,315,35,322,46,7,143,3,7,2,11,5,0,0,59,868,1,25,20,868,4,4,3,443,Champions
11084,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,1,0,38,1053,1,22,15,1053,4,3,4,434,Loyal Customers
5172,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,38,1053,1,22,15,1053,4,3,4,434,Loyal Customers
9504,1949,Master,Married,81698.0,0,0,2013-06-11,4,179,28,520,111,123,47,1,3,8,13,1,1,0,65,1008,1,25,24,1008,4,4,3,443,Champions
850,1968,Graduation,Single,70566.0,0,1,2013-06-10,4,381,28,215,84,28,21,2,6,5,9,3,0,0,46,757,1,23,20,757,4,4,3,443,Champions
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,56,653,1,21,17,653,4,3,3,433,Loyal Customers
1945,1962,Graduation,Married,71434.0,0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,0,0,52,1400,1,22,18,1400,4,3,4,434,Loyal Customers
7685,1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,36,78,1,11,6,78,4,1,2,412,At Risk Customers
6310,1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,36,78,1,11,6,78,4,1,2,412,At Risk Customers
10832,1958,Graduation,Together,46610.0,0,0,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,0,56,467,1,19,13,467,4,3,3,433,Loyal Customers
3025,1958,Graduation,Single,49967.0,0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,56,306,1,19,12,306,4,2,2,422,Potential Customers
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,38,257,1,17,10,257,4,2,2,422,Potential Customers
8581,1971,Master,Married,49505.0,1,1,2013-05-03,4,604,0,100,19,0,28,9,10,2,8,8,0,0,43,751,1,28,20,751,4,4,3,443,Champions
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,68,1196,1,24,17,1196,4,3,4,434,Loyal Customers
10177,1954,Graduation,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,60,1338,1,19,17,1338,4,3,4,434,Loyal Customers
2429,1954,Graduation,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,60,1338,1,19,17,1338,4,3,4,434,Loyal Customers
8920,1967,Master,Single,59235.0,1,0,2013-12-01,4,448,40,469,80,0,91,3,11,2,12,7,0,0,47,1128,1,32,25,1128,4,4,4,444,Champions
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,57,22,2,8,3,22,4,1,1,411,At Risk Customers
8619,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,57,22,2,8,3,22,4,1,1,411,At Risk Customers
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,57,603,2,26,17,603,4,3,3,433,Loyal Customers
7233,1972,Graduation,Married,69209.0,0,0,2012-09-17,4,496,32,849,229,48,128,2,5,3,6,4,0,0,42,1782,2,18,14,1782,4,3,4,434,Loyal Customers
6678,1989,Graduation,Together,31928.0,1,0,2014-03-28,5,33,4,24,4,2,5,2,3,0,4,7,0,0,25,72,0,14,7,72,4,2,2,422,Potential Customers
830,1987,PhD,Single,74004.0,0,0,2014-02-24,5,784,48,560,42,176,48,1,4,6,4,3,1,0,27,1658,0,17,14,1658,4,3,4,434,Loyal Customers
6365,1987,2n Cycle,Married,30390.0,0,0,2013-02-09,5,10,12,12,25,1,20,1,2,0,3,6,0,0,27,80,1,11,5,80,4,1,2,412,At Risk Customers
6770,1985,Graduation,Married,21355.0,1,0,2013-08-20,5,5,13,14,0,5,31,2,2,1,2,6,1,0,29,68,1,11,5,68,4,1,1,411,At Risk Customers
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,45,16,1,10,3,16,4,1,1,411,At Risk Customers
1031,1989,2n Cycle,Married,85710.0,0,0,2013-05-05,5,600,20,350,29,30,33,1,6,9,10,2,0,0,25,1062,1,27,25,1062,4,4,4,444,Champions
10089,1974,Graduation,Divorced,102692.0,0,0,2013-05-04,5,168,148,444,32,172,148,1,6,9,13,2,1,0,40,1112,1,30,28,1112,4,4,4,444,Champions
9256,1971,Graduation,Single,58350.0,0,1,2013-04-01,5,493,26,206,116,80,80,4,8,3,12,6,0,0,43,1001,1,29,23,1001,4,4,3,443,Champions
10641,1978,Graduation,Single,7500.0,1,1,2012-12-27,5,6,5,4,13,4,25,4,2,1,3,6,0,0,36,57,2,12,6,57,4,1,1,411,At Risk Customers
624,1984,Master,Single,18890.0,0,0,2012-10-11,5,6,4,1,7,2,15,1,0,1,2,6,1,0,30,35,2,9,3,35,4,1,1,411,At Risk Customers
4211,1986,Basic,Married,20425.0,1,0,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,28,57,2,12,5,57,4,1,1,411,At Risk Customers
1407,1986,Basic,Married,20425.0,1,0,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,28,57,2,12,5,57,4,1,1,411,At Risk Customers
10356,1957,PhD,Divorced,41437.0,1,1,2012-09-22,5,29,0,2,0,0,1,1,1,0,3,7,0,0,57,32,2,11,4,32,4,1,1,411,At Risk Customers
9323,1949,Master,Together,49912.0,0,1,2012-07-09,5,520,8,223,32,49,42,4,10,5,7,8,1,0,65,874,2,30,22,874,4,4,3,443,Champions
1146,1949,Master,Together,49912.0,0,1,2012-07-09,5,520,8,223,32,49,42,4,10,5,7,8,1,0,65,874,2,30,22,874,4,4,3,443,Champions
6343,1959,Graduation,Married,79823.0,0,1,2014-03-31,6,835,73,380,114,73,43,1,6,9,7,2,0,0,55,1518,0,24,22,1518,4,4,4,444,Champions
8545,1954,Graduation,Divorced,85683.0,0,0,2014-03-21,6,1296,17,311,45,69,51,1,2,4,10,1,1,0,60,1789,0,17,16,1789,4,3,4,434,Loyal Customers
8275,1965,PhD,Divorced,47025.0,1,1,2014-09-02,6,16,0,3,0,0,1,1,1,0,2,7,0,0,49,20,0,10,3,20,4,1,1,411,At Risk Customers
10673,1976,PhD,Married,68397.0,0,1,2013-11-17,6,760,80,466,17,13,80,1,6,9,5,3,0,0,38,1416,1,23,20,1416,4,4,4,444,Champions
8799,1984,PhD,Married,38175.0,1,0,2013-09-23,6,70,6,69,2,3,3,3,3,1,4,7,0,0,30,153,1,15,8,153,4,2,2,422,Potential Customers
67,1972,Master,Single,46423.0,1,1,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,42,92,1,13,6,92,4,1,2,412,At Risk Customers
9923,1972,Master,Single,46423.0,1,1,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,42,92,1,13,6,92,4,1,2,412,At Risk Customers
2814,1976,Master,Together,30560.0,1,0,2013-06-27,6,9,1,5,4,5,7,1,1,0,3,7,0,0,38,31,1,11,4,31,4,1,1,411,At Risk Customers
